Filière,Produit,ville,annee,production_tonnes,superficie_ha,température moyenne,température maximale,température minimale,vitesse du vent,température du vent,précipitations moyennes par jour,précipitations totales sur le mois,humidité,visibilité,couverture nuageuse,irrigation,type_sol,mecanisation
Agrumes,Autres agrumes,Agadir,2010,2474.17,522.82,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Autres agrumes,Fes,2010,2766.62,520.08,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Autres agrumes,Marrakech,2010,2655.6,478.8,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Autres agrumes,Meknes,2010,2587.93,497.63,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Autres agrumes,Ouarzazate,2010,2363.26,465.28,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Autres agrumes,Oulad Teima,2010,2363.24,507.53,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Autres agrumes,Rabat,2010,2313.55,470.28,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Autres agrumes,Sefrou,2010,2723.71,522.61,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Autres agrumes,Sidi Ifni,2010,2589.17,461.32,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Autres agrumes,Skhirate,2010,2643.46,441.51,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Autres agrumes,Tanger,2010,2294.51,466.32,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Autres agrumes,Taounate,2010,2776.36,458.75,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Autres agrumes,Tarfaya,2010,2706.59,489.77,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Autres agrumes,Taza,2010,2391.84,459.98,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Autres agrumes,Tiflet,2010,2376.35,514.7,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Autres agrumes,Youssoufia,2010,2377.16,463.67,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Citron,Agadir,2010,89528.71,2951.55,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Citron,Fes,2010,93638.06,2878.71,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Citron,Marrakech,2010,91908.49,3109.86,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Citron,Meknes,2010,89286.2,3117.6,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Citron,Ouarzazate,2010,95261.14,3043.69,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Citron,Oulad Teima,2010,86458.56,2981.6,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Citron,Rabat,2010,89303.26,2769.87,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Citron,Sefrou,2010,90686.33,2977.8,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Citron,Sidi Ifni,2010,92358.07,3093.09,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Citron,Skhirate,2010,98491.07,2564.06,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Citron,Tanger,2010,87580.04,2855.72,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Citron,Taounate,2010,93441.98,2674.38,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Citron,Tarfaya,2010,94898.9,2867.04,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Citron,Taza,2010,84724.67,2815.21,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Citron,Tiflet,2010,95180.86,2877.18,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Citron,Youssoufia,2010,87036.82,2863.12,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Autres,Agadir,2010,23694.35,4081.47,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Autres,Fes,2010,28281.79,3776.55,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Autres,Marrakech,2010,28368.71,3996.35,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Autres,Meknes,2010,27552.6,3602.85,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Autres,Ouarzazate,2010,24937.77,3691.27,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Autres,Oulad Teima,2010,23863.67,3715.42,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Autres,Rabat,2010,26908.14,3572.14,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Autres,Sefrou,2010,25641.27,3647.68,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Autres,Sidi Ifni,2010,23990.13,3811.18,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Autres,Skhirate,2010,25926.87,3797.48,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Autres,Tanger,2010,23535.2,3839.53,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Autres,Taounate,2010,28076.43,3626.77,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Autres,Tarfaya,2010,24699.88,3599.87,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Autres,Taza,2010,26795.45,3820.98,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Autres,Tiflet,2010,24974.61,3463.1,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Autres,Youssoufia,2010,26056.06,3552.93,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Maroc late,Agadir,2010,418422.18,19552.01,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Maroc late,Fes,2010,388420.76,19683.22,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Maroc late,Marrakech,2010,453482.65,20418.33,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Maroc late,Meknes,2010,437360.67,19454.73,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Maroc late,Ouarzazate,2010,450988.25,20427.06,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Maroc late,Oulad Teima,2010,447284.53,22190.07,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Maroc late,Rabat,2010,422666.32,19633.71,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Maroc late,Sefrou,2010,449526.99,21250.64,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Maroc late,Sidi Ifni,2010,380431.4,23301.22,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Maroc late,Skhirate,2010,389343.41,22776.82,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Maroc late,Tanger,2010,376844.29,20685.45,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Maroc late,Taounate,2010,400067.6,23351.57,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Maroc late,Tarfaya,2010,405319.69,20789.66,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Maroc late,Taza,2010,395592.01,19682.81,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Maroc late,Tiflet,2010,441805.03,23649.67,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Maroc late,Youssoufia,2010,402672.87,23115.76,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Navel,Agadir,2010,287685.48,15683.89,18,21,14,17,13,3,64,66,10,19,1,sableux,3
Agrumes,Orange_Navel,Fes,2010,303436.58,16316.95,12,15,8,12,7,6,165,81,9,37,0,argileux,2
Agrumes,Orange_Navel,Marrakech,2010,279260.57,16332.27,15,19,10,14,9,2,51,71,10,19,1,limoneux,4
Agrumes,Orange_Navel,Meknes,2010,319051.65,14826.56,12,16,8,13,7,6,171,85,9,48,0,calcaire,3
Agrumes,Orange_Navel,Ouarzazate,2010,275266.64,14844.14,10,17,3,17,0,1,11,62,10,14,1,sableux,2
Agrumes,Orange_Navel,Oulad Teima,2010,330165.09,15695.41,17,21,13,15,12,2,45,66,10,18,1,limoneux,4
Agrumes,Orange_Navel,Rabat,2010,317249.33,17091.35,15,18,13,20,12,4,118,83,10,39,0,argileux,5
Agrumes,Orange_Navel,Sefrou,2010,282738.08,14243.9,10,13,7,12,5,5,145,83,9,40,1,calcaire,3
Agrumes,Orange_Navel,Sidi Ifni,2010,271112.95,16683.72,17,18,15,22,15,2,35,72,10,21,0,sableux,2
Agrumes,Orange_Navel,Skhirate,2010,319849.82,14394.02,15,18,12,14,11,5,148,85,9,37,1,limoneux,3
Agrumes,Orange_Navel,Tanger,2010,313314.74,15722.7,14,15,13,22,12,10,305,84,10,45,1,argileux,5
Agrumes,Orange_Navel,Taounate,2010,314647.57,16226.92,6,10,2,14,0,5,153,85,8,51,0,calcaire,2
Agrumes,Orange_Navel,Tarfaya,2010,317190.69,16381.32,20,23,17,22,17,1,6,72,10,18,1,sableux,1
Agrumes,Orange_Navel,Taza,2010,275236.19,14397.03,6,10,2,14,0,5,153,85,8,51,0,argileux,3
Agrumes,Orange_Navel,Tiflet,2010,292350.8,15534.41,14,18,10,14,9,5,133,88,9,47,1,limoneux,4
Agrumes,Orange_Navel,Youssoufia,2010,277752.91,16056.26,15,19,11,14,10,4,101,82,10,36,0,calcaire,2
Agrumes,Orange_Navel lane late,Agadir,2010,22937.14,1109.76,18,21,14,17,13,3,64,66,10,19,1,sableux,3
